MyParcel_MyParcelBE::Enabled,Enabled
MyParcel_MyParcelBE::Title,Title
MyParcel_MyParcelBE::Method Name,Method Name
MyParcel_MyParcelBE::Rate Type,Rate Type
MyParcel_MyParcelBE::Type,Type
MyParcel_MyParcelBE::Price,Price
MyParcel_MyParcelBE::PostNL location active,PostNL location active
MyParcel_MyParcelBE::PostNL location fee,PostNL location fee
MyParcel_MyParcelBE::Condition,Condition
MyParcel_MyParcelBE::Calculate Handling Fee,Calculate Handling Fee
MyParcel_MyParcelBE::Handling Fee,Handling Fee
MyParcel_MyParcelBE::Ship to Applicable Countries,Ship to Applicable Countries
MyParcel_MyParcelBE::Ship to Specific Countries,Ship to Specific Countries
MyParcel_MyParcelBE::Sort Order,Sort Order
MyParcel_MyParcelBE::Default Shipment Settings,Default Shipment Settings
MyParcel_MyParcelBE::Home address only,Home address only
MyParcel_MyParcelBE::Signature on receipt,Signature on receipt
MyParcel_MyParcelBE::Return if no answer,Return if no answer
MyParcel_MyParcelBE::Large package,Large package
MyParcel_MyParcelBE::Insured up to &euro; 50,Insured up to &euro; 50
MyParcel_MyParcelBE::For NL shipping only,For NL shipping only
MyParcel_MyParcelBE::Insured up to &euro; 250,Insured up to &euro; 250
"MyParcel_MyParcelBE::For NL shipping only, shipments outside the EU insured default is &euro; 200","For NL shipping only, shipments outside the EU insured default is &euro; 200"
MyParcel_MyParcelBE::Insured up to &euro; 500,Insured up to &euro; 500
"MyParcel_MyParcelBE::For NL shipping only, shipments inside the EU insured default is &euro; 500","For NL shipping only, shipments inside the EU insured default is &euro; 500"
MyParcel_MyParcelBE::Customs Shipment Type,Customs Shipment Type
MyParcel_MyParcelBE::Customs Content HS Code,Customs Content HS Code
"MyParcel_MyParcelBE::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>. HS codes can also be connected to categories. The data you enter here will be used as default.","Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>. HS codes can also be connected to categories. The data you enter here will be used as default."
"MyParcel_MyParcelBE::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code."
MyParcel_MyParcelBE::Retourlink e-mail Template,Retourlink e-mail Template
MyParcel_MyParcelBE::PLACEHOLDER,PLACEHOLDER
MyParcel_MyParcelBE::Track&amp;Trace email template,Track&amp;Trace email template
"MyParcel_MyParcelBE::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available."
MyParcel_MyParcelBE::Print Orientation,Print Orientation
MyParcel_MyParcelBE::Select a standard orientation for printing labels.,Select a standard orientation for printing labels.
MyParcel_MyParcelBE::Enable test modus,Enable test modus
MyParcel_MyParcelBE::Enable to test the extension,Enable to test the extension
MyParcel_MyParcelBE::Enable Myparcel Extension,Enable Myparcel Extension
MyParcel_MyParcelBE::Enable or disable the MyParcel module.,Enable or disable the MyParcel module.
MyParcel_MyParcelBE::Selecting 'No' will overrule all individual settings.,Selecting 'No' will overrule all individual settings.
MyParcel_MyParcelBE::General Settings,General Settings
MyParcel_MyParcelBE::API Key,API Key
MyParcel_MyParcelBE::The API Key given by MyParcel.,The API Key given by MyParcel.
MyParcel_MyParcelBE::API Username,API Username
MyParcel_MyParcelBE::Your MyParcel username.,Your MyParcel username.
MyParcel_MyParcelBE::To get your personal API credentials you should contact MyParcel.,To get your personal API credentials you should contact MyParcel.
MyParcel_MyParcelBE::API settings,API settings
MyParcel_MyParcelBE::Version &amp; Support,Version &amp; Support
MyParcel_MyParcelBE::The log files cannot be downloaded.,The log files cannot be downloaded.
MyParcel_MyParcelBE::An error occurred while processing this action.,An error occurred while processing this action.
MyParcel_MyParcelBE::The shipments were successfully created.,The shipments were successfully created.
